,ED1,ED2,ED3,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
genere,Maschio,Femmina,Maschio,Femmina,Maschio,Femmina,Maschio,Femmina,Maschio,Femmina,Maschio,Femmina,Maschio,Femmina,Maschio,Femmina,Maschio,Femmina,Maschio,Femmina,Maschio,Femmina,Maschio,Femmina
eta,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
situazione lavorativa,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente,Studente
istruzione,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale,Laurea Triennale
fastidioso-piacevole,4,3,5,6,2,6,5,2,4,3,6,6,4,3,4,2,3,4,4,5,5,4,6,1
incomprensibile-comprensibile,5,4,5,5,4,2,5,6,4,3,5,7,4,4,3,2,5,3,5,5,5,5,6,4
creativo-privo di fantasia,3,4,3,3,4,4,4,2,4,7,2,5,6,3,7,4,6,4,5,4,4,6,1,7
facile da apprendere-difficile da apprendere,4,3,4,2,4,2,2,2,5,5,3,2,3,3,4,3,1,2,2,4,3,3,2,2
di grande valore-di poco valore,6,3,3,4,6,3,4,6,5,6,2,4,5,4,7,4,6,4,3,4,4,5,3,7
noioso-appassionante,4,5,5,6,4,5,5,2,4,4,6,5,4,5,3,4,2,2,4,4,4,2,5,1
non interessante-interessante,4,4,6,5,2,5,5,2,4,4,6,5,4,4,3,3,2,3,4,4,4,4,7,3
imprevedibile-prevedibile,2,4,5,3,1,3,5,2,4,2,4,4,5,3,5,4,2,4,6,4,6,5,6,1
veloce-lento,4,3,3,3,3,4,4,2,5,6,2,6,3,5,4,2,6,4,3,4,3,4,2,4
originale-convenzionale,6,3,2,4,4,5,4,2,5,6,2,6,6,7,5,4,1,4,6,4,6,6,1,7
ostruttivo-di supporto,3,3,5,5,3,4,4,6,4,3,6,6,4,4,3,3,4,3,5,4,4,4,7,2
buono-scarso,6,3,3,3,7,3,3,6,4,5,2,4,5,4,5,5,6,5,3,4,3,5,2,4
complicato-facile,4,4,5,4,5,2,5,6,2,3,6,7,5,5,4,3,7,4,6,4,6,4,7,4
repellente-attraente,2,4,4,3,3,7,5,2,5,2,6,6,4,5,2,4,6,4,5,4,4,4,7,1
usuale-moderno,4,4,4,4,5,4,5,6,4,1,6,5,6,5,3,3,6,3,5,4,3,3,6,4
sgradevole-gradevole,2,4,7,4,2,5,5,1,4,3,6,6,4,3,4,3,4,2,5,4,5,4,7,2
sicuro-insicuro,5,4,3,4,4,4,3,6,5,5,1,5,5,4,3,3,5,6,3,4,4,3,4,5
attivante-soporifero,4,4,4,4,5,1,3,2,4,4,2,4,4,2,4,4,6,4,2,4,4,4,1,7
conforme alle aspettatitve-non conforme alle aspettative,6,3,2,3,2,2,3,6,6,2,2,1,3,1,4,2,4,3,3,4,3,3,3,2
inefficiente-efficiente,3,4,6,4,5,4,5,6,4,2,6,6,4,6,4,4,3,1,5,4,5,5,7,1
chiaro-confuso,7,5,2,5,4,7,3,2,5,6,3,3,4,6,5,5,3,3,4,4,4,4,2,5
non pragmatico-pragmatico,4,4,4,4,5,5,4,6,4,2,6,4,4,4,5,6,5,4,5,4,5,4,6,3
ordinato-sovraccarico,7,5,3,7,7,7,4,6,4,6,6,6,5,7,7,6,6,2,6,4,4,7,2,7
invitante-non invitante,6,4,3,4,6,3,4,6,5,5,2,3,5,4,5,6,3,7,3,4,4,5,1,7
congeniale-ostile,4,4,2,4,5,4,3,2,4,5,2,2,4,4,5,5,3,5,3,4,3,3,2,5
conservativo-innovativo,5,5,5,4,5,4,5,5,5,2,6,4,4,6,3,4,6,1,4,4,4,3,7,1
NPS,0,7,9,8,0,10,7,0,3,2,8,7,5,1,3,1,1,3,8,6,7,2,9,4